naslov,autor,kategorija,izdavac,godina_izdanja,broj_strana,povez,format,opis,cena
ISTINSKA SREĆA,Martin Selidžmen,"ASERTIVNOST, MOTIVACIJA I SAMOPOŠTOVANJE",ZAVOD ZA UDŽBENIKE,2012,401,Broš,13x20,"Martin Selidžmen, autor ovog dela, svetski poznati psiholog poznat je i kao autor bestselera Naučeni optimizam. Podnaslov ovog njegovog najnovijeg dela, inače 17. po redu knjige iz veoma popularne Zavodove biblioteke Psihologija za radoznale, glasi: Ostvarivanje vašeg potencijala za duboko zadovoljstvo uz pomoć nove pozitivne psihologije. U neku ruku to je i manifest nove, pozitivne psihologije i pregled njenih novih saznanja o tome kako ostvariti dobar, duhovno bogat i dug život, dobro psihičko zdravlje i istinsku sreću.Prva polovina ove knjige posvećena je podizanju pozitivnih emocija i njihovom razumevanja. Knjiga potvrđuje koliko novo istraživanje sreće pokazuje da ona može trajno da se poveća. Kao i novi pokret, pozitivna psihologija potvrđuje da se može početi živeti u onom gornjem čovekom delu ukupnog opsega sreće. Autor smatra da istinska sreća dolazi od prepoznavanja i negovanja vaših najdubljih snaga i njihove svakodnevne upotrebe na poslu, u ljubavi, igri i roditeljstvu. Pozitivna psihologija smatra da postoji, kao što to potvrđuje ova knjiga, svetla nada i izlaz iz ćorsokaka života. Taj put vodi kroz predele uživanja i zadovoljstva, naviše ka zemlji snage i vrline i, na kraju, do visova trajnog ispunjenja: do smisla i svrhe života.",1996.0
PETO GODIŠNJE DOBA,Nenad Racković,DOMAĆI ROMAN,LAGUNA,2017,168,Broš,13x20,„Ljubavni roman par excellence!“ Dragan Velikić,539.0
DVA SU CVIJETA U BOSTANU RASLA,priredila dr Zoja Karanović,LEKTIRA,ZAVOD ZA UDŽBENIKE,2016,116,Tvrd,13x21,Izbor ljubavnih i porodičnih narodnih lirskih pesama,435.0
MONGOLSKE MRLJE,Zoran Predin,ROMAN,GEOPOETIKA,2022,176,Broš,20x13.5,"""Preplitanje i borba dva vremena – onog turskog ratnika posle neuspešne opsade Beča od pre pet vekova i doba mladog i nadobudnog člana stranke Slovenija Slovencima odmah po proglašenju državne nezavisnosti; borba između krajnosti – smrti i ljubavi. Priča o porodici, narodu, kontinentu. A u njoj su osmanske vojske i jugoslovenske tajne službe koje čine zlodela u ime čistoće rase, vere, ideologije ili jezika, i – suprotstavljeni pojedinac. Sve to građa je romana-prvenca muzičara i pisca Zorana Predina.",990.0
JEDAN RAZOREN UM,Lazar Komarčić,DOMAĆI ROMAN,KLJUČ IZDAVAŠTVO,2022,159,Broš,21x14.8,"Roman „Jedan razoren um” vodi nas u Beograd i Srbiju neposredno nakon sukoba na Čukur česmi 1862. godine. Igrom okolnosti dolazi do susreta i upoznavanja glavnih junaka ove priče, patrijarhalno vaspitanih mladića Stevana i Velje, koji neodoljivo liče jedan na drugog. Кako tu neobičnu fizičku sličnost sve više prepoznaje i njihova okolina, koja ih neretko i zamenjuje, oni postaju nerazdvojni prijatelji, gotovo pobratimi. Uvođenje motiva ljubavnog trougla, na kojem je izgrađen sam zaplet priče, postepeno razara njihovo prijateljstvo, a Velju, psihički labilnijeg junaka, opčinjenog Кantom i njegovom filozofskom postavkom sveta i svemira, naposletku dovodi do paranoičnog straha i psihoze. Preispitivanje pozicija ljubavi i prijateljstva junacima će, isto kao i devojci u koju su obojica zaljubljeni, doneti različitu sudbinu.",450.0
BEOGRADSKI AKVAREL,Ljubica Kubura,DOMAĆE PRIČE I PRIPOVETKE,KLJUČ IZDAVAŠTVO,2021,115,Broš,21x14.8,"Zbirka „Beogradski akvarel” Ljubice Кubure je kolaž bajkovitih priča. U njima ima nepobeđenog šmeka i širine duha koje baštine čuvari nesrušenih zidina. Tako skupljene te priče čine da ovaj grad bude posebniji, topliji i nežniji nego što danas jeste. Jer ženski akvarel nikad nije od mramora, kamena i željeza. Ljubica piše na onaj isti način kako su svojevremeno opšte divljenje izazivale ulicama, kejovima, scenama i oblacima „lepe žene prolazeći kroz grad”: Beba Lončar, Olivera Кata-rina, Nikica Marinović, Ljubica Otašević, Milena Dravić, Milja Vujanović, Neda Arnerić, Lola Novaković, Vera Čukić, Vesna Vulović, Biljana Ristić, Ana Leković, Maja de Rado, Margita Stefanović, Tanja Bošković, Sonja Savić… One prolaze a razgovori prestaju, vreme gubi smisao i sunce nikad ne zalazi. Gospođica Кubura jeste u pravu da „uspomene loše idu uz Džonija Štulića”, ali ako se odreknemo uspomena, akvarelnih i poučnih priča, onda nam ostaje – šta?                           Petar Peca Popović                                                                                                                                                U zbirci „Beogradski akvarel”, koja obuhvata priče o autentičnim i običnim ljudima iz Beograda, pronalazimo „slike” sa velikom paletom likova – od tinejdžera koji se prvi put upoznaju sa osećanjem ljubavi, sa ljudima u srednjim godinama, sa onima na važnim životnim prekretnicama, kao i sa ljudskim sudbinama koje se pred našim očima gase. To su fragmentarni isečci ljudskih sudbina, jedan trenutak istrgnut iz života pojedinca i zanavek zapisan.",585.0
DEVOJČICA KOJA JE HTELA DA SPASE KNJIGE,K. Hagerup i L. Aisato,UZRAST OD 10 DO 12 GODINA,PUBLIK PRAKTIKUM,2021,25,Tvrd,24.5x19.5,"Znate li šta se dešava sa knjigama koje niko ne pozajmljuje iz biblioteke? Ne zna ni Ana. Ali kada otkrije, upušta se u neverovatnu avanturu i kreće u misiju spasavanja. Čarobna priča o ljubavi prema knjigama i likovima koji u njima žive, nemanjena ljubiteljima knjiga svih uzdrasta.",891.0
ŽENE SRCA MOG,Isabel Aljende,ROMAN,NOVA KNJIGA BG NOVA KNJIGA PG,2021,168,Broš,13x20,"Isabel Aljende se u svojoj najnovijoj knjizi Žene srca moga priseća svog života pozivajući nas da joj se pridružimo na njenom ličnom i emocionalnom putovanju na kojem susrećemo sve drage žene koje su obeležile njen život, počev od onih najbližih, do čuvenih spisateljica poput Virdžinije Vulf ili Margaret Atvud, kao i mlade i hrabre aktivistkinje današnjice u beskonačnoj borbi za ženska prava, ne izostavljajući ni mnogobrojne anonimne žene koje su pretrpele i trpe nasilje, ali ipak ne posustaju već nastavljaju da se bore, ne osvrćući se na prošlost. Sve su to žene koje su nadahnule ovo delo, u kojem se Isabel Aljende osvrće i na nezapamćenu pošast koja je promenila naše živote, što nam može biti još jedan podsticaj da nastavimo svoju borbu, ne gubeći mladost u srcu i beskrajnu želju za ljubavlju.",792.0
IDEJA O TEBI,Robin Li,ROMAN,STELA KNJIGE,2022,420,Broš,20x14,"Solen Maršon, tridesetdevetogodišnja vlasnica umetničke galerije u Los Anđelesu, neplanirano vodi svoju ćerku Izabel na koncert i upoznavanje sa njenim omiljenim boj bendom. Otkako se razvela, više od svega želi da provodi vreme sa ćerkom. Poslednje što je Solen očekivala bilo je da će započeti vezu sa jednim od članova svetski poznatog benda ,,Avgustovski Mesec"". Ali Hejz Kembel je pametan, šarmantan, samouveren i otmen, i među njima se istog trenutka javlja neodoljiva privlačnost. Ipak, činjenica da je on dvadesetogodišnjak samo dodatno komplikuje stvari. Ono što je počelo kao niz tajnih ljubavnih sastanaka, brzo prerasta u strastvenu i ozbiljnu vezu. Solen i Hejz lete sa kontinenta na kontinent i kroz putovanja upoznaju jedno drugo: od turneja po stadionima širom sveta i međunarodnih umetničkih sajmova do osamljenih skrovišta u Parizu i Majamiju. Za Solen, ta veza predstavlja povratak samoj sebi, kao i ponovno otkrivanje ljubavi i sreće. Kada romansa Solen i Hejza preraste u viralnu senzaciju, a ona i njena ćerka postanu mete podivljalih fanova i nezasitih medija, Solen će morati da se suoči sa činjenicom da njen ljubavni život isuviše utiče na živote onih do kojih joj je najviše stalo.",989.0
PEDESET IMENA ZA KIŠU TikTok Hit,Aša Lemi,ISTORIJSKI ROMAN,VULKAN IZDAVAŠTVO,2022,336,Broš,14.5x20.5,"Kao dete udate japanske aristokratkinje i njenog ljubavnika, afroameričkog vojnika, Noriko Kamiza je autsajder od rođenja. Njeni baka i deda su je primili, samo da bi je sakrili, plašeći se mrlje na svom plemenitom pedigreu koji očajnički žele da održe u Japanu koji se menja.",1019.0
KOSOVKA DEVOJKA,Dragica Pavlović Thornton,DOMAĆI ROMAN,TALIJA IZDAVAŠTVO,2022,321,Tvrd,14.8x21,"Autorka vešto plete priču, postepeno uvodi likove u nju i sa lakoćom gradi njihove karaktere. Profesionalni istoričar bi nas precizno obavestio o datumima pojedinih događaja, makar o tome da je izbio Prvi srpski ustanak, a Pavlovićeva umešno to radi onako usput, dopuštajući čitaocu da iz dijaloga aktera to sam zaključi. Jer, centralna tema romana i nije hronika srpskog naroda tokom njegove borbe za oslobođenje od turskog jarma, već životi srpskih porodica u to vreme, svakodnevna zbivanja. Ovo je i priča o dobroti, plemenitosti, požrtvovanju, rađanju i negovanju ljubavi, topla, gotovo bajkovita storija, u kojoj skoro da nema negativnih junaka, osim naravno, onog „pustog turskog“. Pravo osveženje na našem književnom tržištu.",891.0
AKO ŽELIŠ NEŠTO OD MARSA BUDI VENERA,Dana Vitor,DOMAĆI LJUBAVNI ROMAN,TALIJA IZDAVAŠTVO,2022,193,Broš,14.8x21,"""U životu možemo pobeći od svega, ali ne i od srca. Ljubav nas uvek nađe. Putevi ljubavi su čudesni. Ljubav je najveća inspiracija, najveća pokretačka sila i najjača isceljujuća snaga, veličanstvena i moćna u svakom svom aspektu. Upravo o tome govori roman Dane Vitor „Ako želiš nešto od Marsa budi Venera“. Suptilno, nadahnuto napisan, pitak, lagan probudiće u Vama i suze i smeh i zebnju i radost i toplinu...",891.0
ELIZABET FINČ,Džulijan Barns,ROMAN,GEOPOETIKA,2022,184,Broš,13.5x20,"""Višestruko nagrađivani pisac donosi nam sažetu i značenjima pregnantnu priču u čijem je središtu lik izuzetno upečatljive žene. Elizabet Finč – profesorka, mislilac, učitelj, životna inspiracija – usmeravala je svoje studente da samostalno misle, izgrađuju stavove i pronalaze smisao u svome životu. U ishodištu čitave ove pripovesti stoji rasprava o Julijanu Otpadniku, njenom istorijskom istomišljeniku i saborcu kad je reč o preispitivanju ustaljenog monoteističkog svetonazora koji je oduvek dovodio do razdora među ljudima. Kad EF više ne bude, njen bivši student, u čijim su rukama njene beleške i dnevnici, biće podstaknut na duboko promišljanje ljubavi, prijateljstva, istorije i biografije.",880.0
IZ RATNIH DANA / IZ SOLUNSKIH BORBI,Ivo Ćipiko,DOMAĆE PRIČE I PRIPOVETKE,TALIJA IZDAVAŠTVO,2021,205,Tvrd,14.8x24,"Kao ratni dopisnik učestvovao je u Balkanskim ratovima, a za vreme Prvog Svetskog rata je pratio srpsku vojsku u izgnanstvo, to je bilo prouzrokovano, osim nacionalnim oduševljenjem i naklonošću jednog zapadnjaka, razočaranog u evropsku civilazaciju, prema kojoj je u njegovim očima nosila nešto od onog iskonskog, pravog, prirodnog života kome je težio. Upravu tada nastaju dela “ Iz solunskih borbi” i “ Iz ratnih dana”. Slobodoljublje, odvažnost, ljubav i svetlost, krasile su Iva Ćipika, istovetne osobine koje je podario i svojim junacima u ovim delima.",693.0
NEBESA,Sandra Njuman,ROMAN,BOOKA,2022,259,Broš,20x13,"Nebesa američke spisateljice Sandre Njuman neobičan su spoj istorijske fikcije, fantastike o putovanju kroz vreme i ljubavne priče.",891.0
OTKRIJTE KO JE NORMALAN KO NE,Dejvid Liberman,"ASERTIVNOST, MOTIVACIJA I SAMOPOŠTOVANJE",HARMONIJA KNJIGE,2022,167,Broš,23x15,"""Koeficijent stabilnosti (SQ) je merilo emocionalnog zdravlja, odnosno pokazatelj nedostatka nečijeg emocionalnog zdravlja. U ovim haotičnim vremenima morate se zaštititi od ljudi sumnjivog mentalnog kapaciteta. Postoji veća verovatnoća da će nestabilne osobe pokušati da vas iskoriste, slažu, prevare, zloupotrebe ili vam naprosto zagorčaju život. Otkrijte da li je neko iz vaše okoline – ljubavni partner, dadilja, kolega, sused, potencijalni radnik, klijent ili verenik – normalan, neurotičan ili nešto još gore! Lično, na mreži ili telefonom otkrijte skoro bezopasne taktike koje vam brzo otkrivaju da li je neko u vašem životu mentalno",666.0
CVEĆE,Afonso Kruz,ROMAN,ČIGOJA ŠTAMPA,2022,258,Broš,21x14.8,"Tema romana Cveće je naše pamćenje i pitanje kako nas ono definiše. Radnja je smeštena u savremenu Portugaliju, a glavni lik je gospodin Ulme, koji je svakim danom sve više uznemiren vestima. Nakon što doživi moždani udar potpuno gubi emocionalno pamćenje: pamti PIN na bankomatu, ali se ne seća prvog poljupca. On zna sve o muzici, ali se ne seća da je ikada vodio ljubav. Narator knjige, cinični novinar nezadovoljan životnom rutinom, pokušava da pomogne Ulmeu, da povrati izgubljeno emocionalno pamćenje. Ali taj zadatak nimalo nije lak jer odgovor na pitanje ko smo mi zavisi od osobe koju pitamo: neko ko nas ne voli reći će da smo grozni, a onaj ko nas obožava reći će da smo sveci.",990.0
NOVO GROBLJE,Milica Špadijer,POEZIJA,KONTRAST,2022,86,Broš,21x14.8,"Pesnički svet Milice Špadijer vešto balansira između nasilja i ljubavi, smrti i smeha, svakodnevice i bajke; štaviše, sve se to u knjizi Novo groblje nastavlja jedno na drugo i nadopunjuje. Može se s punim pravom reći da sve ono što čitaoci vole u prepoznatljivom pesničkom izrazu Milice Špadijer u Novom groblju doseže do novih vrhunaca, i da je njena varijanta tzv. novog čitanja tradicije i njena rekontekstualizacija nesumnjivo jedna od autentičnijih u savremenoj srpskoj poeziji.",629.0
KAPOROVA ŠKOLICA,Aleksandar Đuričić,"DOMAĆE BIOGRAFIJE, MEMOARI, DNEVNICI, PISMA",VUKOTIĆ MEDIA,2022,296,Broš,20x14.5,"U vešto isprepletenoj priči o jednom od najomiljenijih, ali i najkontroverznijih srpskih pisaca, smenjuju se svedočenja onih koji do sada nisi govorili o Momi Kaporu. Potresna ispovest njegovog ujaka koji ga je kao četvorogodišnjeg dečaka izvukao ispod mrtvog majčinog tela u bombardovanom Sarajevu, i tako mu prvi put spasao život, uz koloplet emocija brata od strica, sa kojim je proveo detinjstvo, čine jedinstvenu porodičnu sagu, gde su ljubav i smrt plesali ruku pod ruku.",855.0
ZAŠIVANJE OBLAKA,Miljena Drndar,DOMAĆI ROMAN,ŠTAMPAR MAKARIJE,2019,225,Broš,21x14,"Roman o sjećanjima koja se prenose genetskim kodom duboko u prošlost. Roman širokog zamaha, i guste naracije, roman svjedok stradanja u kome vjekovima na istom tlu marširaju i smjenjuju se vojske naroda čije generacije brane pravo na nepokorenost, slobodu, istinu i život. Roman o hrabrosti, prijateljstvu i ljubavi.",841.0
ROĐENJE,Aleksej Varlamov,ROMAN,ŠTAMPAR MAKARIJE,2018,147,Tvrd,21x14,"Aleksej Varlamov, savremeni ruski pisac, rektor na Moskovskom univerzitetu, predstavlja se romanom Rođenje. Rođenje je priča o traženju i traganju ali i bježanju od sebe, o ljubavi i svim njenim manifestacijama. Pored svega što može zadesiti jedan bračni par, rođenje djeteta je logičan sljed događaja. Međutim, kada pomisle da je sve izgubljeno, da se dijete neće roditi, ona ostaje trudna. I kada pomisle da dijete neće preživjeti sve nedaće koje ga dočekaju, ono volšebno preživi.",792.0
STOJAN MUTIKAŠA,Svetozar Ćorović,DOMAĆI ROMAN,ŠTAMPAR MAKARIJE,2019,221,Broš,21x14,"Roman Stojan Mutikaša objavljen je 1907. godine, a po njemu je snimljen i film 1954. Ćorović je blizak tradicionalnijem realizmu, te opisuje društvene motive Hercegovine kao svoje sredine i osvetljava porodične i društvene odnose života čaršije. Roman prati životni put glavnog junaka, njegov dolazak sa sela u veliku gazdinsku kuću, šegrtovanje i uspon na društvenoj lestvici. Kapital i novac postaju sami sebi svrha i lišavaju Stojana Mutikašu osnovnih ljudskih vrednosti, ljubavi i samilosti, i obesmišljavaju život uopšte. Ćorović prikazuje kako sa društvenim i materijalnim usponom dolazi do moralnog pada, pa ovaj roman ima naglašen kritički odnos prema trgovačkom sloju.",871.0
ROMANI I PRIČE PREDRAGA STEPANOVIĆA,Rada Stanarević,FILOLOGIJA,AKADEMSKA KNJIGA,2022,152,Broš,22.5x13.5,"Srećna i podsticajna okolnost pri nastanku ove knjige jeste ta da je prvi čitalac i kritičar svakog od četiri njena dijela (prvi roman, ljubavne priče, stvarnosna proza, epistola o unijatu) bio sâm pisac Predrag Stepanović. A hronologiju njegovog stvaralaštva i života, u petom poglavlju, kao i bibliografiju, sačinili smo, korak po korak, zajedničkim snagama. Monografiju sam pisala shodno književno-naučnim pravilima, sa ciljem da se Predragu Stepanoviću dâ odgovarajuće mjesto u savremenoj srpskoj književnosti.",1540.0
PRIČA O HARFI,Miša Mihajlo Kravcev,DOMAĆI ROMAN,BLUM IZDAVAŠTVO,2022,204,Broš,20x13,"Priča o harfi ne može se porediti ni sa jednim romanom. Autentičan je i vraća nas u ona drevna vremena velikih klasika. To je knjiga satkana od ljubavi i snage, roman-misao. I pored izuzetne dubine i brojnih citatnih i nezaboravnih rečenica, Miša Mihajlo Kravcev uspeo je čitavu radnju ovog dela da prenese sa onom lakoćom i jednostavnošću u kojoj sva ta suština spontano puca pred našim očima, a potom se sklapa i oblikuje, sama od sebe. Autor je zaronio u drevne mitove, a izronio je tačno u onoj istoriji kakvu danas znamo, dajući jednu grandioznu rekonstrukciju pravremena i svega što nam je prethodilo, na način i uz objašnjenja koja je zaista teško osporiti. I pritom je uklopio sve, do najsitnijih detalja. Roman se sastoji iz dve paralelne priče koje uspostavljaju dva suštinska principa čovečanstva, muški i ženski, principa čijim će ukrštanjem nastati današnja civilizacija, od nastanka drevnog delfskog proročišta do ljubavne sage koja će pokrenuti svet.",809.0
PAKS: PUTOVANJE KUĆI,Sara Penipaker,ROMANI I PRIČE ZA DECU OD 10 DO 12 GODINA,VULKAN IZDAVAŠTVO,2022,240,Broš,13x20,"Piter i Paks su razdvojeni već godinu dana, i otada su im se životi prilično promenili – Paks sada ima svoju porodicu u divljini, a Piter, slomljen gubicima koje je doživeo, priključuje se mladim volonterima koji saniraju posledice rata. Iako se on trudi da okameni svoje srce, ljubav uvek pronalazi put. A kada se Paksovo mladunče razboli, lisac će potražiti jedinog čoveka kojem veruje.",849.0
OSTRVO NESTALOG DRVEĆA,Elif Šafak,ROMAN,LAGUNA,2022,378,Broš,13x20,„Ova tragična priča ublažena trajnom ljubavlju i fantastičnim završetkom sveukupni je trijumf književnosti Elif Šafak.“,1169.0
KAO ZVEZDE PADALICE,Zveva Kazati Modinjani,ROMAN,KOSMOS BG NOVA KNJIGA PG,2021,480,Broš,13x20,"Roza Leticija, neponovljiv, živopisan i upečatljiv ženski lik, u središtu je uzbudljive pripovesti o bogatoj milanskoj porodici koja je najburnije trenutke svoje istorije zabeležila na prelazu dva veka, u Severnoj Italiji i Americi. U trenutku kad odluči da uzde poslovnog carstva prepusti svojoj unuci Gloriji, Roza Leticija joj otkriva i uzbudljivu, bolnu i slavnu prošlost svoje porodice. Senka rodoskvrnuća, stvaranje industrijske imperije iznikle na velikoj prevari i ogromnoj upornosti, krvave boje rata, blistavi svet mode, ljubavna čežnja i neizrecive tajne moćnika udahnuli su život ovoj romantičnoj i snažnoj priči vrtoglavog ritma.",1079.0
SUNČANICA,Emilija Pardo Basan,ROMAN,PARTENON,2022,156,Tvrd,21x14,"Sunčanica je roman o strasti i telesnoj ljubavi - označava radikalan raskid s pripovedanom tradicijom 19. veka. Žena je prikazana kao „anđeo doma i ognjišta“ i „uzorna supruga“, što je pogubno za njen položaj u patrijarhalnom društvenom sistemu. Nova i slobodna žena, oličena u liku Asis, koristi pravo da raspolaže svojim telom. Spisateljica ukazuje na potrebu da konzervativno društvo uzme u obzir njena nastojanja i želje.",891.0
RITUAL PRED SPAVANJE,Katarina Pantović,POEZIJA,SUMATRA IZDAVAŠTVO,2022,52,Broš,20x14,"U drugoj pesničkoj zbirci Katarina Pantović bogatim i slikovitim jezikom precizno detektuje intimna gibanja: rastrzanost između pokreta i statičnosti, odlazaka i ostajanja, sadašnjosti i nagrizajućih uspomena. Bilo da se odlučuje za dobrovoljnu izolovanost ili nalazi u prinudnoj zatvorenosti, prelazi velike razdaljine fizički ili tek simbolično, lirska persona sȃma je u vlastitom ograničenom prostoru, ophrvana sećanjima na nešto čega i nije bilo, suočena s mrakom i svetlošću nadirućih čulnih utisaka. Neuspela anestezija iz koje nastaje ova poezija sustiče se s mistikom mora I sirove telesnosti. Potraga za ljubavlju i bliskošću redovno biva okončana ćorsokakom, baš kao i jalova želja za produžetkom i grananjem života. U slikama enterijera I prizorima gradske vreve proganjajuća samosvest prepoznaje nemogućnost povratka u stanje detinje naivnosti i bezbrižnosti. Lirska junakinja provodi vreme u mračnoj čauri samoosporavanja, erotike i potisnutog besa. Ispostavlja se da beg od narušene ravnoteže možemo naći jedino u intimnim ritualima, pred spavanje. - Jelena Marinkov",594.0
VELIKA USAMLJENOST,Kristin Hana,ROMAN,STELA KNJIGE,2022,478,Broš,14x20,Ljubav i strah. Najrazornije sile na zemlji.,1079.0
ONO ŠTO DOPUŠTAJU OSEĆAJI,Robert Simonišek,POEZIJA,TREĆI TRG/SREBRNO DRVO,2021,89,Broš,13.5x20.5,"Kako rečima izraziti prazninu, otuđenost, bol, čežnju za ljubavlju, za drugima? Na ova pitanja odgovara nagrađivani pesnik Robert Simonišek pretačući predverbalno stanje u stihove: „Bez nekoliko grama ljubavi bih odustao.“",858.0
MALA OSOBNA MITOLOGIJA,Boris A. Novak,POEZIJA,TREĆI TRG/SREBRNO DRVO,2020,123,Broš,13.5x20.5,"U ovoj iznenađujućoj i potresnoj zbirci pesama, Boris A. Novak je „prevodilac lepote“. Odakle dolazi lepota i u šta je treba prevesti? Dolazi s one strane ruba sećanja, iza svetlosnog horizonta koji iscrtava mala osobna mitologija. Odande gde počinju da se zapliću sudbina i egzistencija, snaga i predanost biti. A kuda je treba prevesti? Treba je preneti preko „temeljnog ljudskog praga“ koji predstavljaju „potpisane reči“. Treba je sačuvati u domu potomaka, stojeći na raskrsnici vremena na promaji. To je moguće uraditi samo jezikom krvavo bolne usamljenosti, nasladom pesme koja nestaje u ljubavi do istine, nerazumljive istine… - Milan Dekleva",880.0
PISMA IZ CRVENE PUSTINJE,Tom Šulc,POEZIJA,TREĆI TRG/SREBRNO DRVO,2021,75,Broš,12x19,"Dok smo išli kroz Crvenu pustinju, na ivici puta stajali su službenici, ne nekakvi proroci. Govorili su: držite međusobno rastojanje. Udaljite se jedni od drugih. Ne idite svojim putem, iskopajte rupu i zavucite se unutra. Verovali smo im: razum je cvet u močvarama. Nebo, od prašine. Sunce, svetska banka. Nebeski svod, smetlište za zvezde. U Crvenoj pustinji postoje stajališta i brzi vozovi hrle do tačke bez povratka. Smrt je praktična. Kad neko umre, dospe u novinske naslove. Šuplji muškarci naređuju životu da stane. Sve su boje iste. Vera je crna. Svaka nada je još crnja. Kad neko govori o ljubavi,smeste ga u praznu sobu. Mi smo to, ti ljubavnici u osećajnim pustinjama.",660.0
LAKONOGI DAN,Jelena Lengold,DOMAĆI ROMAN,ARHIPELAG,2022,184,Tvrd,21x14,"Glavni junak romana „Lakonogi dan“ je pisac koji, u potrazi za razrešenjem porodične istorije i životnih sumnji, kao i nedoumica poteklih iz ljubavnog brodoloma koji je upravo preživeo, odlazi na dugačko putovanje po Evropi - od italijanskih obala do norveških luka i fjordova.",1100.0
STRAH OD VARVARA,Petar Andonovski,ROMAN,TREĆI TRG/SREBRNO DRVO,2021,81,Broš,13.5x20.5,"Gavdos: malo ostrvo južno od Krita, najjužnija tačka Evrope okružena beskrajnim morem. Oksani, koja je sa svojim prijateljima došla iz Ukrajine da bi se oporavili od posledica eksplozije u Černobilju, život u plavo-beloj kući s limunovim drvetom deluje kao san. Za Pinelopi, Grkinju koju su časne sestre manastira u kome je provela svoje mladalačke dane udale za nepodnošljivog čoveka, Gavdos predstavlja zarobljeništvo. Njihove dve priče, isprepletene s pričama žena iz skromnog društva, sa svojim prošlim životima i ljubavima, vešto su kombinovane s temom otuđenosti i pojmovima „tuđinstva“ i „varvarstva“ u ovom kratkom poetičnom romanu priznatog makedonskog autora, Petra Andonovskog, dobitnika Evropske nagrade za književnost.",880.0
PRONAĆI SEBE,Agnes Lidbek,ROMAN,TREĆI TRG/SREBRNO DRVO,2020,195,Broš,13.5x20.5,"Britki roman o posledicama pronalaženja sebe u ženskom trojstvu: u ulozi majke, ljubavnice i negovateljice.",990.0
DIVLJA TAMA,Mehmed Begić,POEZIJA,TREĆI TRG/SREBRNO DRVO,2020,92,Broš,13.5x20.5,"Prijateljica, koja se prošle godine prvi put susrela s Mehmedovom poezijom, otpuhnula je i izjavila kako njegove pjesme pulsiraju erotikom. Ta je erotika i dalje tu samo što se sada upustila u borbu sa smrću. Postala je zadnja brana ljudskog prava na ideju vječnosti u kojoj ćemo moći nadoknaditi svu ljubav koja nam nije pružena i svu ljubav koju nismo pružili čekajući prokleti pravi trenutak koji nam stalno izmiče. Divlja tama je Mešin pravi trenutak. Mehmed ga je velikodušno podijelio s nama. A za ljubav se ne treba zahvaljivati. Ljubav treba uzvratiti. Vrijeme je da se zaljubite u Mešine stihove. Bestidno pozovite još nekoga. Ovo je takva igra. Nema kompromisa. Divlja je i tamna. Zove se ljubav.",858.0
VANILA I ČOKOLADA,Zveva Kazati Modinjani,ROMAN,KOSMOS BG NOVA KNJIGA PG,2021,416,Broš,13x20,"Penelope i Andreu povezuje osamnaest godina braka rođenog iz velike ljubavi i troje komplikovane, ali i divne dece. Ipak, umorna od njegovih nevera, sebičnosti i površnosti, Penelope odlučuje da napusti Andreu i suoči ga s problemima koji predstavljaju njenu svakodnevicu. Time će možda uspeti i da spase njihovu vezu...",981.0
TAJNA JUŽNJAČKIH KORALA,Zveva Kazati Modinjani,ROMAN,KOSMOS BG NOVA KNJIGA PG,2021,360,Broš,13x20,"Bilo je blago majsko veče kad se u drevnoj palati Soljano na jugu Italije, vlasništvu istoimene porodice koralara, neočekivano oglasi telefon. Cela porodica je okupljena za trpezom: Orsola i njeno petoro dece, kao i dona Margerita, Orsolina svekrva. Iznenadni telefonski poziv grubo je prekinuo trideset godina ljubavi i sloge. Tajanstvena fotografija ljupkog kosookog dečaka na čijoj poleđini piše „Tvoj sin Stiv“ poljuljaće čvrsta uverenja otresite i nezavisne Milanežanke Orsole.",891.0
DEČKO MOJIH SNOVA,Lazar Molnar,DOMAĆI ROMAN,PRESING,2021,376,Broš,21x14.8,"Samo nekoliko nedelja pre nego što će mu umreti majka, mladi brucoš Spasoje Milivojčević stupa u neprimereni odnos sa jednim od asistenata na Matematičkom fakultetu Univerziteta u Beogradu. Mada zamišljen da bude centralna ličnost prve srpske gej trilogije, u početku je fokus ipak stavljen na okolnosti i ljude koji su Milivojčevića načinili onakvim kakav jeste. Posebna pažnja poklanja se porodici njegovog školskog druga i mučitelja Božidara Kojadinovića (zvanog Botoks), čiji je bahati otac devedesetih godina reketirao pola Jugoslavije. U jednom momentu, Botoks ubija svoju devojku samo zato što ga je snimila dok je vodio ljubav sa muškarcem, a potom počela da ga ucenjuje da će, vrlo brzo, čitav grad saznati za njegove neobične sklonosti. Obeshrabrujuća slika Srbije u raljama kriminala i homofobije. Milerovski minuciozno i bez dlake na jeziku, autor u svom debitantskom romanu dekonstruiše mnoge aktuelne teme, koje do temelja potresaju srpsko društvo. Kolika je zaista cena iskrenosti, i kako smo dopustili da se inauguriše jedna, u toj meri pogubna društvena klima (sveopšteg odijuma i netrpeljivosti), koja svaku zdravu kritiku a priori proglašava za autošovinizam?",1079.0
